,Country,ISO3,Specie,Breed/Most common name,Language,Description,Transboundary name,Other name,Provision Uses,Regulation and Maintenance Uses,Cultural Uses,Description Of Specific Uses,Production environment/management systems,Literature related to uses and ecosystem services,Additional information,Additional information comments,Efabis cultural role comment,Efabis cultural value,Adaptability to specific environment,Specific resistance or tolerance,Specific reproductive characteristic,Special characteristic of product,Other special qualities,Reference for special qualities,Efabis genetic features,Efabis environmental role,Efabis adaptability to marginal land,Body conformation,Coat description,Coat quality,Comb type,Skin colour,Shank and foot colour,Plumage colour,Pattern within feather,Avian classification,Color comments,Efabis main colour,Efabis skin colour,Number of horns males,Number of horns females,Horn shape size and comments,Wither height males,Wither height females,Weight males,Weight females,Breed classification (adaptedness),Herdbook,Herdbook established,Domestication status,Taxonomic classification,Description of origin,Year of origin,Import,Location within country,Eggs per year AVG,Eggs per year MIN,Eggs per year MAX,Egg weight,Wool or hair,Wool type,Fleece weight AVG,Fleece weight MIN,Fleece weight MAX,Fibre diam,Management system,Feeding of adults,Mobility,Milk per year AVG,Milk per year MIN,Milk per year MAX,Lactation length (day) AVG,Lactation length (day) MIN,Lactation length (day) MAX,Milk yield per lactation (kg) AVG,Milk yield per lactation (kg) MIN,Milk yield per lactation (kg) MAX,Milk fat AVG (%),Milk fat MIN (%),Milk fat MAX (%),Milk per day (kg),Number of lactations,Efabis milk protein AVG,Efabis milk protein MIN,Efabis milk protein MAX,Birth weight males,Birth weight females,Age maturity males,Age maturity females,Age breeding males,Age breeding females,Age first parturition (month) AVG,Age first parturition (month) MIN,Age first parturition (month) MAX,Parturition interval (day) AVG,Parturition interval (day) MIN,Parturition interval (day) MAX,Length productive life (years),Daily gain,Carcass weight (kg),Dressing percentage (%),Performance data reference,Managment conditions performance measured,Comments managment conditions,Additional performance parameters,Litter size AVG,Litter size MIN,Litter size MAX,Geographical classification,Local cryo conservation status,Local Risk,Detailed local risk status,Regional Transboundary Risk (detailed),International Transboundary Risk (detailed),Young per year AVG (number),Adult weight AVG (kg),Adult weight AVG (g),Birth weight AVG (kg),Birth weight AVG (g),Young mass per year AVG (kg),Young mass per year AVG (g)
3479,Czechia,CZE,Goose,Ceska husa,czech,"Lighter weight type with a strong constitution, lesser (shorter) body frame, adapted to more extensive conditions in smaller flocks. High slaughter efficency and both meat and feather quality. Well maintained brooding and guiding instinct.",Czech White,Czech goose,"Feathers, Meat",,,,,,"The Bohemian goose was bred pure until the end of the last century, when it was almost replaced by importation of big foreign breeds. Thereafter, due to the high breeding and management requirements of the imported breeds, the Bohemian goose was regenerated from the remaining population in the Southern Bohemia and included among the breeds of poultry of great economic value in the 1930's. Experimental keeping of the Bohemian goose under large-scale production system was carried out after the World War II, but the low egg production and light live weight led to its replacement by other breeds. Presently these geese are reared by breeders of the Bohemian Goose Club. In 2003, kept on 23 private farms with individual recording and pedigree hatching involving about 160 geese and 40 ganders. Another 50 geese and 20 ganders are tested for the meat yield of the progeny at an international poultry testing station.",,traditional feast food (Christmas),,,,The animals rear goslings twice a year. They have a reputation as good sitters., plumage cushions,,,,,well adapted to extensive (pasture) conditions,,,,,white,white pinkish,white,,middle level,,white,white pinkish,,,,,,5.5,4.5,Native,y,2000,domestic,breed,old indigenous breed,,,,,,,,,,,,,,semi - intensive,"concentrate, fodder, grazing",stationary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"On farm animals are traditionally fed by seasonal feed, pasture, and about 20% grain Testing station uses standard compound mixture with NL 248 gL/kg and ME 11,5 MJ/kg in the starting period and 179 g NL and 12,8 MJ in the test period, kept in a deep litter hall with outdoor run and natural light","In smallhold conditons, there are geese even 12-16 year old and still productive","Live weight (station tests) 5,4kg/4,5kg in 1 year old males and females respectively, and 6,7kg/4,9kg in elder males and females respectively 56-day fattening test (station tests): liveweight (LW)= 3,39kg (males) and 2,97 kg (females), feed conversion 2,97 kg/kg LW in males and 3,09 in females Slaughter analysis (skinless body, minimum difference between males and females): 70,3% slaughter yield, fat 2% LW, muscle 18,8% LW",,,,regional,No Material,atRisk,endangeredMaintained,endangered,,,5.0,5000.0,,,,
3480,Czechia,CZE,Goose,Ceska husa chocholata,czech,"A sub-population of the Czech white goose, carrier of specific gene causing imperfect and damageable formation of cranium what however might be hazardous under stress conditions.",Czech White,Czech crested,"Feathers, Meat",,,,,,,,,,,,, ,,,,,,,,,,white,white pinkish,white,,middle level,,white,white pinkish,,,,,,5.5,4.5,Native,y,2000,domestic,strain,selected from the Czech goose in 1988,,,"kept on 6 conservation farms, together with the Czech goose (separate bred)",13.0,12.0,18.0,162.0,,,,,,,semi - intensive,"concentrate, fodder, grazing",stationary,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,,,,,,,8.0,,,,"Similar to the Czech goose, slightly lower egg weight but higher of reared goslings (7.7 - 8.3) in a ten-year data set. However this might be a result of smaller flock size and/or breeders care compared to the Czech goose.",,,,,,,regional,No Material,atRisk,criticalMaintained,endangered,,,5.0,5000.0,,,,
3482,Czechia,CZE,Horse,Achal-Teke,,,Akhal-Teke,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Exotic,,,domestic,breed,imported; exotic,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,international,No Material,atRisk,critical,,endangered,,,,,,,
3483,Czechia,CZE,Horse,Anglicky plnokrevnik,czech,,British Warmblood,,,,Racing,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Exotic,y,1919,domestic,breed,imported; exotic,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,regional,No Material,atRisk,critical,notAtRisk,,,,,,,,
3484,Czechia,CZE,Horse,Arabsky kun,czech,,Arab,Arabsky Plnokrevnik,,,Sport,,,,,,crossbreeding (breeding other breeds),,The animals are well adapted to the local climate and to semi desert land.,,, ,,,,,semi desert,,,,,,,,,,"uni coloured: black, different shades of brown, grey: also white intermixed with black",,,,,,160.0,156.0,450.0,400.0,Exotic,y,1995,domestic,breed,"imported from Slovakia, Egypt, Sweden and Germany; descended from wild Asian horse around 5000 BC",,,country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,international,No Material,atRisk,critical,,notAtRisk,,425.0,425000.0,,,,
3485,Czechia,CZE,Horse,Ceskomoravsky belgicky kun,czech,,,Bohemian moravian belgien,"DraughtPower, Meat",,Hobby,,,,"In 2003, Of the total population of some 740 mares and 40 stallions, 188 mares and 29 stallions have been included in the genetic resource (2001).",,,,,,, ,,,,,,,,,,,,,,,,,,,,,164.0,160.0,800.0,700.0,Locally adapted,y,1995,domestic,breed,Cold-blood horse based on the import of Belgian (1880 - 1930) and to a lesser extent Walloon (1880 - 1910) stallions and domestically bred mares; no further immigration of Belgian stallions has occurred for the past 60 years.,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,40.0,36.0,36.0,87.0,,50.0,,,342.0,333.0,,12.0,,,,,,,,1.0,1.0,1.0,local,Sufficient,atRisk,endangeredMaintained,,,1.067251461988304,750.0,750000.0,42.5,42500.0,45.35818713450292,45358.18713450292
3489,Czechia,CZE,Horse,Huculsky kun,czech,,Hutsul,"Hutculsky, Hucul",,,Sport,The Hucul is a riding and draught horse.,,,,,,,The breed is well adapted to work in mountains.,,, ,,,marker/major genes: -Microsatelite AHT4 H=0.839; -Microsatelite AHT5 H=0.788; -Microsatelite HMS1 H=0.597; -Microsatelite HMS2 H=0.781; -Microsatelite HMS3 H=0.884; -Microsatelite HMS6 H=0.701; -Microsatelite HMS7 H=0.607; -Microsatelite HTG4 H=0.797; -Microsatelite HTG6 H=0.539; -Microsatelite HTG7 H=0.582; -Microsatelite HTG10 H=0.798; -Microsatelite VHL20 H=0.848; -Microsatelite ASB2 H=0.794; -Microsatelite ASB17 H=0.767; -Microsatelite ASB23 H=0.917; -Microsatelite CA425 H=0.828; -Microsatelite LEX3 H=0.522; (2011),,mountain,,,,,,,,,,"uni coloured: usually dun or bay, sometimes chestnut or piebald",,,,,,140.0,138.0,,,Locally adapted,y,1922,domestic,breed,"primitive and developed, local Carpatian type of Tarpan: composite of Tarpan, Kertak and Arab, established in 17th and 18th century",,"since 1950 from Hucul (Romania,Poland and Ukraine) and from Fjord (Poland)",Found in mountain logging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,34.0,,,,,,,,,,,,,,,,,,,,,,regional,Sufficient,atRisk,criticalMaintained,vulnerable,,,,,36.0,36000.0,,
3496,Czechia,CZE,Horse,Shagya Arab,czech,,Shagya Arab,,,,Sport,,,,,,breed was formed from the beginning foundation,,,,, ,,,,,,,,,,,,,,,"uni coloured: black, bay, chestnut, grey",,,,,,155.0,152.0,520.0,450.0,Exotic,y,1994,domestic,breed,mares originated from Austria-Hungary army stud farms; in 1816 pure-bred-Arab was imported from Orient,1816,"1960-1970, <5%, 1971-1980, 5-20% and 1981-1990, >20% from Shagya (Hungary): 1991-1997, 5-20% from Shagya (Slovakia)",country-wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Material,atRisk,endangered,,endangered,,485.0,485000.0,,,,
3498,Czechia,CZE,Horse,Slezsky norik,czech,,Silesian Norik,,"DraughtPower, Meat",,Hobby,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,164.0,160.0,800.0,700.0,Locally adapted,y,1995,domestic,breed,"Imported breed, locally adapted",,,"Nord Moravia, Orlické hory (east czech mountains)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,40.0,36.0,,104.0,,50.0,48.0,,342.0,336.0,,12.0,,,,,,,,,,,regional,Sufficient,atRisk,endangeredMaintained,endangered,,,750.0,750000.0,42.5,42500.0,,
3500,Czechia,CZE,Horse,Starokladrubsky kun,czech,,Old Kladruby Horse,"Kladruber, Starokladrubský Kun, Kladruby",,,Sport,,,,2005: Bred in two genetically distant strains: white (Belous in czech) and black (Vranik in czech).,,,,,,This breed is known for late maturity., ,,,marker/major genes:-Microsatelite AHT4 H=0.794; -Microsatelite AHT5 H=0.688; -Microsatelite HMS1 H=0.542; -Microsatelite HMS2 H=0.740; -Microsatelite HMS3 H=0.767; -Microsatelite HMS6 H=0.696; -Microsatelite HMS7 H=0.700; -Microsatelite HTG4 H=0.711; -Microsatelite HTG6 H=0.522; -Microsatelite HTG7 H=0.390; -Microsatelite HTG10 H=0.706; -Microsatelite VHL20 H=0.813; -Microsatelite ASB2 H=0.797; -Microsatelite ASB17 H=0.755; -Microsatelite ASB23 H=0.778; -Microsatelite CA425 H=0.610; -Microsatelite LEX3 H=0.502; (2011),,,,,,,,,,,,"uni coloured: grey, black",,,,,,166.0,162.0,595.0,570.0,Native,y,1779,domestic,breed,"local horse bred since 1600, with Spanish influence",,,"Kladruby Nad Labem (white), Slatinany (black)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,Sufficient,atRisk,endangeredMaintained,,,,582.5,582500.0,,,,
3503,Czechia,CZE,Pig,Belgická Landrase,czech,,Belgian Landrace,Belgian Landrace,Meat,,,,,,,,,,,,,An outstanding meat performance is reported for this breed. ,,,,,,,,,,,,,,,uni coloured: white,,,,,,92.0,80.0,290.0,270.0,Exotic,y,1974,domestic,breed,"imported from Belgium, Germany and France",,"since 1970 as Belgian Landrace (Belgium, Germany)",country-wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,2.0,,114.0,73.0,Data source: performance recording of the Pig Breeders' Association (2002),,,"Fertility 71,7% 2,9 litters per life prolificity 10,2 per litter",,,,international,No Material,extinct,extinct,,endangered,,280.0,280000.0,,,,
3504,Czechia,CZE,Pig,Bile otcovske,czech,,Large White,Czech White Stud Breed,Meat,,,,,,,,,,,,The females are known for their good reproduction ability.,The breed has a good growth rate. ,,,,,,,,,,,,,,,uni coloured: white,,,,,,100.0,90.0,300.0,255.0,Locally adapted,y,1993,domestic,breed,Highly selected line of Czech White improved pig (father-line),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,,,,,12.0,,,107.0,,,2.0,,114.0,73.0,Data source: performance recording of the Pig Breeders' Association (2013),,,"Fertility 77,7% 3,4 litters per life prolificity 11,3 per litter",11.0,,,international,No Material,atRisk,endangered,,notAtRisk,37.523364485981304,277.5,277500.0,1.3,1300.0,48.7803738317757,48780.3738317757
3505,Czechia,CZE,Pig,Ceska landrase,czech,,Landrace,,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Locally adapted,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,5.3,9.1,7.9,12.5,10.0,24.0,163.5,115.0,647.0,1.4,1101.7,,,0,,,,13.24,,,international,No Material,atRisk,endangered,,notAtRisk,29.55718654434251,,,,,,
3506,Czechia,CZE,Pig,Ceske bile uslechtile,czech,,,Large White,Meat,,,,,,,,,,,An unspecified disease resistance is reported for animals of this breed.,This breed is known for its reproductive qualities., ,This breed is known for its firm constitution.,,,,,,,,,,,,,,uni coloured: white,,,,,,100.0,90.0,300.0,280.0,Locally adapted,y,1927,domestic,breed,"composite of Old Czech Bristly, Rychnow and Moravian Yorkshire",1927,"since 1970 improved by Large White (Bulgaria, France, United Kingdom, Germany)",country-wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,5.6,9.1,7.9,12.5,10.0,24.0,162.83,111.0,848.0,1.4,1045.4,,,0,,,"Fertility 76,8% 3,5 litters per life prolificity 14,2 per litter",12.82,,,local,No Material,notAtRisk,notAtRisk,,,28.737333415218323,290.0,290000.0,,,,
3507,Czechia,CZE,Pig,Ceske vyrazne masne,czech,,,Czech Meat,Meat,,,,,,Since 2006 no in vivo animal existing,,,,,,,The breed has a high weight gain capacity. ,,,,,,,,,,,,,,,uni coloured: white,,,,,,95.0,84.0,310.0,250.0,Locally adapted,y,1991,domestic,breed,indigenous breed (local breed improved for meatiness),,"since 1970 inproved by Landrace (Germany, France, Denmark)",country-wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,3.0,880.0,120.0,80.0,Data source: performance recording of the Pig Breeders' Association (2003),,,"Fertility 73,2% 2,65 litters per life prolificity 19,4 live piglets per year Very high meatnes (percentage of lean meat in the carcase >64%)",,,,local,Not Sufficient,extinct,extinct,,,,280.0,280000.0,,,,
3508,Czechia,CZE,Pig,Duroc,eng.,,Duroc,,Meat,,,,,,,,,,,,, ,This breed has a firm constitution.,,,,,,,,,,,,,,"uni coloured: red, red-brown",,,,,,98.0,82.0,350.0,270.0,Exotic,y,1973,Domestic,Breed,imported from USA in 1973 and Canada in 1995,1970,"since 1970, <5% from Duroc (United Kingdom, USA, Canada), 1990-1997, <5% from Duroc (Denmark)",country-wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,5.6,9.4,7.9,12.2,10.0,18.0,160.3,121.0,419.0,1.2,1043.1,,,0,,,"Fertility 75,9% 2,5 litters per year prolificity 10,8 per litter",10.29,,,international,No Material,atRisk,critical,,notAtRisk,23.43013100436681,310.0,310000.0,,,,
3509,Czechia,CZE,Pig,Hampshire,eng.,,Hampshire,,Meat,,,,,,,,,,,,,This breed shows an outstanding meat performance. ,,,,,,,,,,,,,,,multi coloured: black with white belt,,,,,,96.0,86.0,300.0,270.0,Exotic,y,1972,domestic,breed,"imported from USA, Canada, Denmark",,"since 1970 from Hampshire (USA: 1982-1985, <5%: Canada: 1983, <5%): 1990-1997, <5% from Hampshire (Sweden)",country-wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,2.0,,114.0,73.0,"Data source: performance recording of the Pig Breeders' Association (2010) Fertility 78,1% 2,6 litters per life prolificity 10,9 per litter",,,,,,,international,No Material,extinct,extinct,,endangered,,285.0,285000.0,,,,
3510,Czechia,CZE,Pig,Pietrain,fr.,,Pietrain,,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,multi coloured: white or light grey with irregular black or dark-brown spots,,,,,,90.0,82.0,275.0,265.0,Exotic,y,1991,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,6.2,9.3,8.3,12.6,10.0,17.0,169.4,117.0,540.0,1.5,1025.1,,,0,,,"Fertility 78,2% 4 litters per life prolificity 10,6 per litter",10.37,,,international,No Material,atRisk,critical,,notAtRisk,22.343860684769773,270.0,270000.0,,,,
3511,Czechia,CZE,Pig,Presticke cernostrakate,czech,"Local pig of the ""saddleback"" type",,Prestice Black-Pied: Black-Spotted Prestice,"Lard, Meat",,,,,,2003: it is kept as a closed population with approximately 350 breeding sows and 30-40 breeding boars.,,,,Well adapted to the local environment.,Well resistance.,, ,This breed is robust and only low feed demanding.,,,,,,,,,,,,,,multi coloured: black with white saddle,,,,,,94.0,80.0,300.0,250.0,Locally adapted,y,1964,domestic,breed,"composite of Old Czech Bristly Spotted, Black and Prestice Spotted. <br> In 2003, After 1945 this population was influenced by the use of different breeds of boars, especially the German and Englanish saddle pig, its regeneration later led to its recognition as a separate breed in 1964.",1964,"since 1970 improved Angeln Saddlebacks (Germany, United Kingdom)",western Bohemia,,,,,,,,,,,"back yard or farm yard production, extensive (non backyard)",,,,,,,,,,,,,,,,,,,,,,8.2,8.0,10.0,8.3,13.2,9.0,18.0,165.71,116.0,908.0,1.6,862.0,,,0,,,"Fertility 81,42% 3,7 litters per life prolificity 10,8 per litter",11.03,6.0,15.0,local,Sufficient,atRisk,endangeredMaintained,,,24.295154185022025,275.0,275000.0,,,,
3512,Czechia,CZE,Rabbit,Cesky albin,czech,,,Czech white,"Meat, PelFur",,Hobby,,,,"In 2003, The numerical representation of rabbits of the remaining local breeds is continuously decreasing, despite the subsidy granted to them, and their wider regeneration is critically endangered.",,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,4.6,4.5,Native,y,2000,Domestic,Breed,breed developed from local breeds in 1928 as fur producing animal,1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.52,2733.0,60.46,,,,!! indicators with zero are not monitored in our country !!,6.81,6.41,7.31,local,No Material,atRisk,endangered,,,,4.55,4550.0,,,,
3513,Czechia,CZE,Rabbit,Cesky cernopesikaty,czech,,,Bohemian Black guardhair,,,,,,,"In 2003, The numerical representation of rabbits of the remaining local breeds is continuously decreasing, despite the subsidy granted to them, and their wider regeneration is critically endangered.",,,,,,, ,,,Genotype a-chi/a-chi/-bb-CC-DD-GG,,,,,,,,,,,,,,,,,,,,3.2,3.1,Native,y,2000,domestic,breed,Developed for a special fur colour from other breeds (white with black guard hairs),1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.22,1886.0,56.7,0,,,!! indicators with zero are not monitored in our country !!,5.4,5.1,5.57,local,No Material,atRisk,endangered,,,,3.1500000000000004,3150.0000000000005,,,,
3514,Czechia,CZE,Rabbit,Cesky cerveny,Czech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Native,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.24,1840.0,63.71,0,,,!! indicators with zero are not monitored in our country !!,5.48,5.37,5.59,local,No Material,atRisk,endangered,,,,,,,,,
3515,Czechia,CZE,Rabbit,Cesky lustic,czech,,,"Separator, Solver",,,,,,,,,,,,,, ,,,Genotype AA-bb-cc-dd-gg,,,,,,,,,,,,,,,,,,,,3.8,3.7,Native,y,2000,domestic,breed,Selected in the Czech Republic in 1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.77,2486.0,61.96,0,,,!! indicators with zero are not monitored in our country !!,5.81,5.36,6.34,local,No Material,atRisk,endangered,,,,3.75,3750.0,,,,
3516,Czechia,CZE,Rabbit,Cesky strakac,czech,,,Czech Spot,,,,,,,"In 2003, The numerical representation of rabbits of the remaining local breeds is continuously decreasing, despite the subsidy granted to them, and their wider regeneration is critically endangered.",,,,,,, ,,,Genotype AA-BB-CC-DD-gg-Kk,,,,,,,,,,,,"Typical black pattern on head (butterfly, eyes and temple) and 5 isolated spots on thig",,,,,,,,3.6,3.5,Locally adapted,y,2000,domestic,breed,breed developed in the Czech Republic around 1900 from local rabbits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.47,2235.0,60.38,0,,,!! indicators with zero are not monitored in our country !!,6.73,6.65,6.85,local,No Material,atRisk,endangered,,,,3.55,3550.0,,,,
3517,Czechia,CZE,Rabbit,Moravsky bily hnedooky,czech,,,Moravian white brown-eyed,,,,,,,"In 2003, The numerical representation of rabbits of the remaining local breeds is continuously decreasing, despite the subsidy granted to them, and their wider regeneration is critically endangered.",,,,,,, ,,,Genotype Aa-bb-CC-DD-gg,,,,,,,,,,,,,,,,,,,,3.5,3.4,Native,y,2000,domestic,breed,Selected in the Czech Republic in 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.45,2210.0,60.59,,,,!! indicators with zero are not monitored in our country !!,5.71,5.48,5.88,local,No Material,atRisk,endangered,,,,3.45,3450.0,,,,
3518,Czechia,CZE,Rabbit,Moravsky modry,czech,,,Moravian blue,,,,,,,"In 2003, The numerical representation of rabbits of the remaining local breeds is continuously decreasing, despite the subsidy granted to them, and their wider regeneration is critically endangered.",,,,,,, ,,,Genotype AA-BB-CC-dd-gg-hh,,,,,,,,,,,,,,,,,,,,6.6,5.8,Native,y,2000,domestic,breed,developed form local rabbits around 1870 in Moravia region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.02,2844.0,61.45,0,,,!! indicators with zero are not monitored in our country !!,6.34,6.26,6.49,local,No Material,atRisk,endangered,,,,6.199999999999999,6199.999999999999,,,,
3519,Czechia,CZE,Sheep,Bergschaf,ger.,,German Mountain,,Meat,,,,,,,DNA-material is stored,,,The animals are well adapted to mountainous regions and climate.,,A long breeding season is reported for this breed., ,,,,,mountain,,,,,,,,,,uni coloured: white,,,0,0,,80.0,70.0,100.0,70.0,Exotic,y,2000,domestic,breed,imported from Germany,,,,,,,,wool,coarse/carpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,Data source: Performance recording of the Breeders' association Average daily gain of males and females is calculated from birth to 105 days of age,,The animals are grazing on the mountains.,"fertility 81,2%, fecundity 105,3% (2013) average liveweight of males and females in 105 days 27,2 kg",,,,regional,No Material,atRisk,endangered,notAtRisk,,,85.0,85000.0,,,,
3520,Czechia,CZE,Sheep,Berrichone du Cher,fr.,,Berrichon Du Cher,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,0,0,,,,,,Exotic,y,2001,domestic,breed,imported from France; exotic,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,Data source: Performance recording of the Breeders' association Average daily gain of males and females is calculated from birth to 105 days of age,,,"fertility 94,1%, fecundity 167,5% (2013) average liveweight of males and females in 105 days 28 kg",,,,international,No Material,atRisk,endangered,,notAtRisk,,,,,,,
3521,Czechia,CZE,Sheep,Bila alpska,czech,,,,"Meat, Milk",VegetationManagement,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,100.0,90.0,100.0,80.0,Exotic,y,2003,Domestic,Breed,,,2003 from Switzerland,,,,,,,,,,,,,,,,,,300.0,,,,700.0,800.0,3.3,,,,,,,,,,,,,,,,,,,,,223.0,,,Data source: Performance recording of the Breeders' association Average daily gain of males and females is calculated from birth to 105 days of age,,,"fertility 90,4%, fecundity 138,8% (2013) average liveweight of males and females in 105 days 25,5 kg",,1.7,1.8,local,No Material,atRisk,critical,,,,90.0,90000.0,,,,
3522,Czechia,CZE,Sheep,Charollais,fr.,,Charollais,,Meat,,,,,,,DNA-material is stored,,,,,, ,,,,,,,,,,,,,,,uni coloured: white with small black spots and pink or grey skin,,,0,0,,65.0,60.0,100.0,70.0,Exotic,y,2000,domestic,breed,"1991 imported from France, continually imported.",,,country-wide,,,,,wool,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,,,Data source: Performance recording of the Breeders' association Average daily gain of males and females is calculated from birth to 105 days of age,,They are tied to good-quality grasslands and preferably flat terrain.,"fertility 91%, fecundity 149,8% (2013) average liveweight of males and females in 105 days 29,3 kg",,,,international,No Material,atRisk,endangered,,notAtRisk,,85.0,85000.0,,,,
3523,Czechia,CZE,Sheep,Cigaja,czech,,Tsigai,Cigaja,Milk,,,,,,,,,,The breed is well adapted to hilly regions.,,,"A specific product named Bryndza, a kind of white cheese is made. Bryndza (White cheese)",,,,,,,,,,,,,,,multi coloured: white with black head and black or dark brown limbs,,,2,0,,72.0,67.0,75.0,55.0,Locally adapted,y,1954,domestic,breed,,,,"Jeseniky Mountains and submountainous areas of Jesenik, northern Moravia",,,,,wool,coarse/carpet,3.2,,,,,,,,,,140.0,,,120.0,,,7.5,,,,,,,,4.0,3.5,,,,,,,,,,,,205.0,,,Data source: Performance recording of the Breeders' association Average daily gain of males and females is calculated from birth to 105 days of age,,mountain grazing,"fertility 87,8%, fecundity 128,9% (2013) average liveweight of males and females in 105 days 23,9 kg",1.2,,,international,No Material,atRisk,endangered,,notAtRisk,,65.0,65000.0,3.75,3750.0,,
